qr_marchant_name,pw_marchant_name,similarity_score
R.CHAB,R.CHAN,0.93
S.VA,S.SVAY,0.91
R.KOENG,R.KEANG,0.93
K.KUN,K.K,0.91
K.LIM,K.LIM,1.00
K.SOENG,K.SORN,0.91
L.IV,L.IV,1.00
L.TOEK,L.KEO,0.90
P.CHUM,P.CHUM,1.00
P.LIN,P.LIV,0.92
P.HORM,P.THOM,0.91
V.EN,V.HENG,0.91
S.CHEN,S.CHEA,0.93
R.MOM,R.MAO,0.91
S.IM,S.DIM,0.95
S.HAK,S.HAV,0.92
S.MEY,S.MET,0.92
S.HIM,S.KHIM,0.96
S.HIM,S.HAI,0.91
S.THOEUN,B.THOEUN,0.92
C.CHHOEURNG,C.HOEUN,0.90
S.MOEUN,S.MOEURNG,0.96
S.CHHUN,B.CHHUN,0.90
S.HEANG,S.PHENG,0.92
C.SENG,C.SEAN,0.93
S.SO,S.SOUN,0.93
V.TUM,V.TEM,0.91
S.CHEN,S.CHAN,0.93
K.TOUCH,K.OUCH,0.96
N.PHAT,N.PHAT,1.00
S.SENG,S.HENG,0.91
L.SONG,L.SOON,0.93
D.ROM,D.ROT,0.92
L.HONG,L.HING,0.92
P.LAY,P.LAM,0.92
P.SEA,P.MEAS,0.90
S.POV,S.POV,1.00
S.SENG,S.SENG,1.00
Y.YOT,Y.YOT,1.00
V.KHIT,V.KITH,0.96
S.YOEURNG,S.YOEURM,0.93
P.SOPHEARUN,P.SORITHPHEARUN,0.91
K.KUN,K.KHUN,0.96
B.LIM,B.LIM,1.00
P.HENG,P.HEN,0.97
S.NGOUN,C.NGOUN,0.90
M.HSIEH,Y.HSIEH,0.90
D.CHHUOR,I.CHHUOR,0.92
S.TRAY,S.TY,0.92
R.HEM,R.EM,0.95
N.SO,N.SOK,0.96
S.SENG,S.MENG,0.91
D.PON,D.POM,0.92
S.LONG,S.KONG,0.91
R.OUL,R.OUK,0.92
P.SARITH,P.SAUTH,0.92
V.KUN,V.KHOEUN,0.91
T.KHEAN,T.KHOEUN,0.92
S.SAO,S.SO,0.95
Y.SOEU,Y.OEUN,0.91
L.HO,L.HOK,0.96
C.,C.C,0.91
C.CHHOEURNG,C.CHAENG,0.90
S.CHOY,S.HUOY,0.91
L.ENG,L.SENG,0.96
M.HENG,M.THENG,0.96
C.PETH,C.PECH,0.93
S.LA,S.LACH,0.93
C.MAK,C.M,0.91
V.THY,V.TYV,0.91
M.VONG,M.LONG,0.91
D.KEM,D.KEO,0.92
P.NGUON,T.NGUON,0.90
D.CHHENG,D.HENG,0.93
K.HIM,K.PHIM,0.96
D.VANNDONG,D.VANN,0.92
P.PTT,P.P,0.91
T.MEN,T.MON,0.91
E.TANG,E.WANG,0.91
B.KHEAN,B.KHON,0.91
B.CHAN,B.CHAB,0.93
D.DORN,D.YORN,0.91
S.PHALL,S.PHAT,0.91
R.THA,R.ATH,0.95
V.VONG,V.KONG,0.91
S.CHHUN,S.CHHEUY,0.92
P.IM,P.SIM,0.95
M.SUON,M.SUOS,0.93
V.EN,V.SIEN,0.91
P.CHAN,P.CHHANG,0.95
V.HORN,V.VORN,0.91
C.HAK,C.HAO,0.92
H.KORN,H.KONG,0.93
T.SENG,T.SDEUNG,0.94
S.POV,S.P,0.91
P.POR,P.POY,0.92
S.SAN,S.SIN,0.91
S.KAM,S.K,0.91
N.PICH,N.PICH,1.00
S.CIA,S.C,0.91
S.REM,S.RET,0.92
L.PHOUN,L.HON,0.92
S.SAN,S.SARUN,0.94
S.CHEN,S.CHOMROEN,0.92
C.SENG,C.SIEN,0.92
S.RON,S.R,0.91
V.SOK,V.SO,0.96
D.RORN,D.RORN,1.00
V.NOEM,V.SOEM,0.91
M.MAO,M.MON,0.91
S.SENG,S.SRENG,0.97
R.PHEARIN,R.PHAN,0.93
A.SAN,A.SAMON,0.94
N.TAING,L.TAING,0.90
T.PET,T.TEP,0.95
C.SIM,C.SIN,0.92
K.CHY,K.CHHUOY,0.93
D.RA,D.BRAK,0.91
V.POCH,V.VOCH,0.91
M.SIEM,M.SIEM,1.00
S.KHUN,S.KHVAN,0.91
L.HET,L.HUT,0.91
R.KEO,R.KEO,1.00
V.SAM,V.SUM,0.91
C.DAM,C.AM,0.95
C.POV,C.P,0.91
S.LONG,S.VONG,0.91
C.KHA,C.KHVACH,0.93
V.UN,V.BUN,0.95
Y.KEA,Y.KHA,0.91
S.POV,S.POL,0.92
S.THAT,S.THAU,0.93
B.SUN,B.SOUN,0.96
E.DOUNG,E.UNG,0.92
R.MEN,R.NGEM,0.90
S.TRAY,S.RY,0.91
S.VANN,S.AN,0.91
T.LY,T.LY,1.00
V.NY,V.NOY,0.95
H.SOU,H.SOR,0.92
G.SORN,G.SORN,1.00
C.CHHOEURNG,C.CHHORN,0.95
S.VAN,S.VAT,0.92
S.HO,S.HORN,0.93
C.SENG,C.ENG,0.96
P.CHI,P.C,0.91
V.MA,V.MEAT,0.92
A.NOU,A.NUON,0.91
M.HENG,M.HANG,0.92
R.KIM,R.KHIM,0.96
K.HOEUNG,K.HUN,0.91
V.HORN,V.NHOR,0.91
S.HUN,S.HUL,0.92
I.CHHIM,K.CHHIM,0.90
R.PHARMACY,R.PHARKDAY,0.92
C.KIM,C.KIM,1.00
V.KUN,V.KIN,0.91
V.HAY,V.HUY,0.91
P.MOAM,P.ROMAM,0.92
D.MAO,D.MAN,0.92
S.MENG,S.MAEN,0.92
P.SO,P.SOS,0.96
P.HORM,P.SORM,0.91
L.YAN,L.YEAN,0.96
S.BOU,S.BUOY,0.91
M.MUY,M.MEY,0.91
S.PHANN,V.PHANN,0.90
Y.SARAVUTH,Y.SIVUTH,0.90
S.KHAI,S.KHIL,0.93
S.PRIN,S.RIN,0.96
S.SAO,S.SAT,0.92
S.KHATH,E.KHATH,0.90
S.SAO,S.SOS,0.91
R.SUM,R.SUM,1.00
O.EM,O.M,0.93
K.PHORK,K.POK,0.93
S.CHOY,S.CHY,0.97
V.HORN,V.KHORN,0.96
S.NORNG,S.NORN,0.97
R.THA,R.THY,0.92
V.DUN,V.DUN,1.00
S.SAO,S.SOY,0.91
K.HUNG,K.UNG,0.96
C.KHOUNG,C.KHUN,0.95
M.PHENG,M.PENH,0.93
B.YA,B.YAN,0.96
S.HEANG,H.SEANG,0.95
S.TOUCH,S.OUCH,0.96
C.KAO,C.KEO,0.91
S.YEN,S.YEAN,0.97
D.CHHENG,P.CHHENG,0.92
K.SOENG,K.SO,0.91
D.TO,D.TOEM,0.93
C.MAK,C.MAO,0.92
T.LINA,T.SINA,0.91
V.PECH,V.RECH,0.91
K.CHHAY,V.CHHAY,0.90
K.LEANG,L.KHEANG,0.91
P.NGUON,P.NHOUNG,0.94
V.POK,V.POV,0.92
T.CHAO,T.CHOU,0.93
S.KEN,S.KEO,0.92
P.PAV,P.POV,0.91
K.TAY,K.TRY,0.91
B.HENG,H.BENG,0.94
S.SAVON,S.SAO,0.94
C.VONG,C.VANG,0.92
S.LONG,S.MONG,0.91
K.SOM,K.SOU,0.92
C.THY,C.TY,0.95
S.KOAM,S.MAO,0.90
S.SOM,S.SEM,0.91
R.NHOEURN,R.SOEURN,0.91
S.HIN,S.IN,0.95
R.OURN,R.JORN,0.91
S.HEM,S.NHEM,0.96
V.PHUONG,Y.PHUONG,0.92
V.EN,V.PHEN,0.91
C.SIM,C.S,0.91
T.CHARU,T.CHUM,0.91
S.PRAK,S.BRAK,0.91
S.LIM,S.LI,0.96
C.CHON,C.NOCH,0.91
C.LICH,C.PICH,0.91
K.MAO,K.MAO,1.00
S.EN,S.WEN,0.95
P.TRY,P.T,0.91
S.KHUN,S.THUN,0.91
V.PHUONG,V.PHON,0.95
Y.CHEA,Y.CHEA,1.00
C.CHHEA,C.CHHAM,0.94
N.LENG,N.BENG,0.91
S.HIM,S.CHIM,0.96
L.EM,L.LEM,0.95
D.LY,D.LUY,0.95
P.HORM,P.HUOR,0.92
P.NEANG,M.NEANG,0.90
Y.THAY,Y.YATH,0.91
N.D,N.DET,0.91
L.SOK,L.SO,0.96
M.VONG,M.VORN,0.93
C.KONG,C.ONG,0.96
S.OR,S.KOR,0.95
S.HO,S.HOR,0.96
S.IM,S.YIM,0.95
C.PHAT,C.PHAL,0.93
S.NOP,S.N,0.91
T.SENG,T.KENG,0.91
B.MAK,B.MAI,0.92
S.DY,S.DY,1.00
S.CHOEURN,S.CHROEK,0.90
V.DY,V.DY,1.00
K.SOM,K.SOK,0.92
M.CHUON,M.CHHON,0.94
R.THA,R.T,0.91
R.SO,R.SORN,0.93
C.SUN,C.SAN,0.91
V.EN,V.CHEN,0.91
M.VA,M.SVAY,0.91
R.PHEL,R.EL,0.91
