qr_marchant_name,pw_marchant_name,similarity_score
S.MEY,S.MAY,0.91
V.VAY,V.VY,0.95
R.REN,R.RIN,0.91
T.KOL,T.K,0.91
M.SOM,M.SOEM,0.97
B.NUON,B.NOUN,0.96
S.KIM,K.SIM,0.93
V.LIM,V.LIM,1.00
T.PVT,T.POV,0.91
R.SROUT,R.RUOS,0.92
R.THMOR,R.THON,0.91
M.HENG,M.SENG,0.91
M.OU,M.SOUT,0.91
D.IV,D.MIEV,0.91
C.KHOUNG,C.KHENG,0.92
C.VOTH,C.THO,0.90
C.CHOM,C.HORM,0.91
R.VAY,R.VAN,0.92
N.TAING,M.TAING,0.90
C.MAK,C.MAY,0.92
P.TAY,P.THA,0.91
B.SOK,B.SOK,1.00
A.SOR,A.SOS,0.92
B.KING,B.KONG,0.92
R.LIM,R.IM,0.95
S.THEARY,S.THY,0.93
O.POV,O.POV,1.00
D.BUN,D.BUN,1.00
D.KIMLANG,D.KIM,0.91
S.YON,S.YOU,0.92
S.HEANG,S.HEANG,1.00
C.RUN,C.ROEUN,0.93
S.IM,S.LIM,0.95
R.HOEUN,R.HON,0.94
T.ON,T.LONH,0.91
S.SAO,S.SOM,0.91
D.HAK,D.HAK,1.00
B.MAK,B.MAKARA,0.93
R.NOP,R.NOP,1.00
S.SENG,S.LENG,0.91
M.KHUN,M.KHENG,0.91
K.HAK,K.HAV,0.92
T.ON,T.N,0.93
A.MEAM,A.MEAS,0.93
B.CHENG,B.HIENG,0.92
C.BON,C.BUN,0.91
C.CHEA,C.EACH,0.91
C.CHEN,C.KHEN,0.91
C.YEM,C.MEY,0.95
C.OUM,C.OEM,0.91
C.OUM,C.OUK,0.92
D.HONG,D.NHONG,0.92
D.OUK,D.ORK,0.91
H.PANHA,H.PHAN,0.93
K.EM,K.NEM,0.95
K.PHORK,K.PHORN,0.94
K.SOM,K.SOM,1.00
L.MAM,L.MAP,0.92
M.SOEURN,M.SAVOEUN,0.92
N.CHHAN,N.CHEA,0.91
P.CHEN,P.CHUN,0.93
P.MAO,P.MAI,0.92
P.SO,P.SOM,0.96
P.TEANG,P.TEAV,0.91
R.CHAB,R.CHHAY,0.91
R.CHOUN,R.CHUM,0.91
R.SAO,R.SOM,0.91
S.CHEN,S.CHEAN,0.97
D.CHHORN,S.CHHORN,0.92
S.CHUM,S.CHHUM,0.97
K.CHHUON,S.CHHUON,0.92
S.LONG,S.LANG,0.92
S.MOEUN,S.MOEURN,0.97
M.SOM,S.MOM,0.93
S.NIT,S.NAI,0.91
P.NEANG,S.NEANG,0.90
S.SRUN,S.RUN,0.96
S.SAN,S.SAING,0.94
S.SAN,S.SUN,0.91
S.TE,S.TES,0.96
S.YOUN,S.YOEU,0.93
S.SOY,S.YOUS,0.90
T.ORN,T.FORNG,0.92
V.DOY,V.DOS,0.92
V.KHEM,V.KEM,0.96
V.NGOEM,V.NGEN,0.91
V.SOK,V.SOY,0.92
V.SUON,V.SUN,0.97
V.VOEUN,V.VOEURN,0.97
S.OUER,S.ROEUT,0.92
K.KHOUY,K.KHUY,0.97
T.KHEAN,T.KHEM,0.91
N.SUN,N.SRUN,0.96
R.CHIEV,R.KHIEV,0.92
R.HENG,R.SENG,0.91
Y.DALY,Y.LAY,0.90
L.PHAL,L.PHAL,1.00
P.KING,P.IN,0.91
S.KIET,S.KEUT,0.92
S.KEN,S.KEANG,0.94
C.SOKSAN,C.SOK,0.93
N.POV,N.P,0.91
S.HEM,S.MECH,0.90
M.SOR,M.ROUS,0.90
G.PA,G.P,0.94
V.LIM,V.LAM,0.91
S.NIT,N.SIT,0.93
K.TUM,K.MUT,0.95
C.LY,C.LY,1.00
S.TOLL,S.OL,0.91
V.SANG,V.TANG,0.91
C.SIM,C.SOM,0.91
L.MOL,L.MOK,0.92
C.DOEM,C.DOEUR,0.91
C.SOK,C.SEK,0.91
U.ROTHA,U.ROTH,0.97
S.CHEN,S.CHEM,0.93
A.,A.C,0.91
S.SOPHEAP,S.SOPHEAP,1.00
P.SO,P.SOK,0.96
M.SUM,M.S,0.91
R.THMOR,R.HORM,0.92
V.SAN,V.SAKHON,0.93
D.KHOEM,D.KOEM,0.97
S.NEANG,S.NANG,0.97
K.BUN,K.BOURN,0.93
V.OEURK,V.OUK,0.93
Y.KHUN,Y.HUN,0.96
P.CHEACHOU,P.CHEA,0.92
V.SOK,V.SOT,0.92
B.NOR,B.NORM,0.97
M.TAO,M.TOB,0.91
C.PHAT,C.PAT,0.96
P.PRAK,P.BRAK,0.91
S.SAVON,S.SAN,0.94
S.KAM,S.KIM,0.91
M.SUM,M.SOM,0.91
T.NGUON,T.NONG,0.93
N.LENG,N.HENG,0.91
S.OUCH,S.KUCH,0.91
S.SOM,S.SUM,0.91
S.VAT,V.SAT,0.93
K.SEN,K.SUN,0.91
L.ENG,L.LENG,0.96
C.CHEN,C.CHIN,0.93
B.SEANG,B.MEANG,0.92
B.PHEARON,B.PHON,0.93
S.ORN,S.RON,0.95
S.MOEUN,S.SAMOEURN,0.92
S.TOUCH,S.TAUCH,0.93
T.THORN,T.HOR,0.92
O.LIM,O.LIM,1.00
R.MOM,R.MOA,0.92
P.NOEM,P.DOEM,0.91
L.VIRAK,D.VIRAK,0.90
B.KANN,B.TANN,0.91
C.CHEN,C.CHIEV,0.91
CHANVEASNA,CHAN MOMVEASNA,0.94
N.SO,N.SORM,0.93
K.LEANG,P.LEANG,0.90
S.IM,S.I,0.94
S.SAO,S.SOK,0.91
S.SAO,S.SOU,0.91
Y.SANG,Y.TANG,0.91
S.KEN,S.NEAK,0.90
T.VON,T.VORNG,0.94
H.PAK,H.KAUP,0.90
S.SAO,S.SOR,0.91
T.LIN,T.LIM,0.92
K.SOENG,K.SOEURNG,0.96
R.YU,R.YEU,0.95
C.CHHOEURNG,C.CHHOUERN,0.96
C.KONG,C.TONG,0.91
T.OENG,T.PROEUNG,0.91
C.SENG,C.SENG,1.00
L.KOV,L.K,0.91
S.EUNG,S.YOEUNG,0.93
K.MORM,K.ROMAM,0.92
S.KHUN,S.KHORN,0.91
P.KOY,P.KEO,0.91
N.HE,N.HOEM,0.92
S.KY,S.KOY,0.95
V.BOT,V.BOU,0.92
S.LY,S.Y,0.93
D.MARA,M.DARA,0.94
M.SIEM,M.SEAM,0.92
R.PON,R.POV,0.92
K.CHY,K.C,0.91
N.LENG,N.SENG,0.91
S.OUK,S.YOUK,0.96
S.NOP,S.NOV,0.92
K.BUN,K.BAN,0.91
S.MOEUN,S.MUON,0.93
R.VONG,R.SONG,0.91
B.PRI,B.PIN,0.91
V.PHUONG,V.HONG,0.93
S.VANN,S.VANNA,0.97
L.VY,L.V,0.94
D.CHHITH,S.CHHITH,0.92
P.IM,P.LIM,0.95
S.HO,S.HAO,0.95
C.ET,C.T,0.93
Y.YIUN,Y.YINH,0.93
S.YOEUN,D.YOEUN,0.90
D.MENG,D.YENG,0.91
L.RIN,L.RIN,1.00
D.LEANG,D.LAN,0.93
S.KAM,S.KEM,0.91
V.RIN,V.R,0.91
S.PECH,S.PICH,0.92
M.PHY,M.PY,0.95
T.CHAO,T.CHAN,0.93
T.PEK,T.EK,0.95
S.SOEM,S.TOEM,0.91
D.SOKH,D.SO,0.93
S.PAN,S.PAL,0.92
R.,R.C,0.91
S.CHEN,S.CHANN,0.91
H.BIN,H.BIT,0.92
K.THAN,K.AN,0.91
L.CHHI,L.CHHAN,0.91
B.IM,B.PRIM,0.91
R.LAM,R.LIM,0.91
P.NORN,P.NORN,1.00
M.VA,M.VANN,0.93
W.BUNTHAN,W.BUN,0.91
L.ENG,L.IENG,0.96
L.SUN,L.SAN,0.91
M.MUY,M.M,0.91
T.SENG,T.TENG,0.91
C.KHOUNG,C.HONG,0.93
R.KEO,R.KOEM,0.91
D.CHHORN,M.CHHORN,0.92
S.HEANG,K.HEANG,0.90
S.SOM,S.SOMAOL,0.93
H.LEK,H.LOEK,0.96
K.HENG,K.CHHEANG,0.91
P.CHEA,P.CHHEAK,0.95
K.EN,K.PEN,0.95
T.KONG,T.KONGMENG,0.92
C.POV,C.PON,0.92
C.HAK,C.HAI,0.92
C.SOK,C.SOT,0.92
D.LY,D.LY,1.00
E.SOKHEANG,EA SOKHEANG,0.92
L.BUN,L.BUN,1.00
L.CHAN,L.CHAN,1.00
D.CHHORN,P.CHHORN,0.92
P.HORM,P.ORM,0.96
P.RUN,P.REOUN,0.93
S.KY,S.KHY,0.95
S.UNG,S.UON,0.91
T.NEANG,T.NEAN,0.97
Y.KIM,Y.IM,0.95
C.CHHOEURNG,C.CHEANG,0.90
S.KHHUN,S.KHON,0.91
N.NUTH,N.TUN,0.90
O.NON,O.NGON,0.96
K.KHIEV,K.KHIENG,0.92
T.SAM,T.SUM,0.91
S.VAN,S.VIN,0.91
M.LY,M.LY,1.00
B.CHENG,T.CHENG,0.90
C.THENG,C.THUN,0.91
K.LAY,K.LY,0.95
S.MONY,S.NY,0.91
C.NHEM,C.NHEK,0.93
K.HOL,K.OL,0.95
V.VANTHY,V.VAN,0.93
K.ET,K.KIET,0.91
K.PHON,K.NOP,0.90
S.SO,S.SOTH,0.93
D.HEANG,D.ENG,0.92
P.HAM,P.HAY,0.92
H.SOKLANG,H.SOKBAL,0.90
S.BOEURN,B.SOEURNG,0.92
S.KONG,S.KANG,0.92
S.NGOUN,S.NOUEN,0.93
C.NORL,C.NGOR,0.92
T.HENG,H.TENG,0.94
C.ANDY,C.DY,0.91
T.TAYYONG,T.TAING,0.90
M.KEM,M.KE,0.96
S.CHEA,S.CHAP,0.93
M.REM,M.REN,0.92
K.SREYMOCH,K.SREY,0.92
A.BONDOL,A.BON,0.93
L.ENG,L.KHENG,0.92
S.MORCH,S.MORM,0.91
T.TAYYONG,T.TANG,0.93
V.SOR,V.ROS,0.95
H.PANHA,H.PAN,0.94
R.EK,R.LEK,0.95
S.SOT,S.SET,0.91
Z.MUAHMMAD,Z.MUAHMMAD,1.00
V.MOL,V.MOK,0.92
K.CHHAY,K.CHAN,0.91
V.SOUTH,V.SOUN,0.91
B.BIN,B.BAN,0.91
N.LENG,N.ENG,0.96
K.HENG,K.SENG,0.91
D.PECH,D.PICH,0.92
O.UY,O.Y,0.93
R.HENG,R.KENG,0.91
S.CHIV,S.CHIV,1.00
K.KENG,K.KONG,0.92
R.LA,R.SELA,0.91
R.ROEN,R.ROEUN,0.97
H.HENG,H.YENG,0.91
C.KONG,C.KANG,0.92
S.SO,S.SUON,0.92
S.HONG,S.THORNG,0.93
S.SOR,S.ROUS,0.90
S.SAO,S.S,0.91
T.ON,T.MORN,0.91
S.KHUN,S.HUON,0.91
V.SROEUNG,V.TOEUNG,0.91
V.SOK,V.SOM,0.92
C.NUON,C.NONG,0.92
S.THEARY,S.TRY,0.91
M.UK,M.LUK,0.95
R.SEK,R.EK,0.95
B.SEA,B.SAM,0.91
B.CHAN,B.CHAK,0.93
W.WAR,W.WAR,1.00
K.PAO,K.POV,0.91
P.SEN,P.SENG,0.97
P.LONG,P.VONG,0.91
S.SENG,S.SONG,0.92
P.TEP,P.TEP,1.00
K.CHHAY,K.CHEA,0.91
S.PHOUK,T.PHOUK,0.90
R.NOP,R.PON,0.95
M.CHHEANG,T.CHHEANG,0.93
D.CHHOY,D.CHY,0.94
R.KOENG,R.KORNG,0.94
T.LINA,T.LA,0.92
S.LY,S.SALY,0.91
S.MATH,S.ATH,0.96
Y.CHHUY,Y.CHY,0.94
D.HONG,D.KONG,0.91
M.SEN,M.SAN,0.91
V.CHUONG,V.CHHON,0.92
R.SUM,R.SUN,0.92
R.OUL,R.OUN,0.92
K.CHHUON,K.CHHOENG,0.93
V.THON,V.TOUN,0.92
H.LI,H.LIM,0.96
L.TES,L.SRET,0.90
S.LONG,S.LON,0.97
S.SREANG,S.SREANG VEASNA,0.91
S.MOEUN,S.VOEUN,0.92
S.CHEN,S.CHEN,1.00
T.MANY,T.AN,0.91
Y.SIN,Y.SUN,0.91
P.KING,P.KANG,0.92
S.CHHUN,T.CHHUN,0.90
M.PROM,M.PROM,1.00
C.CHHAY,C.CHY,0.94
K.LIM,K.LIV,0.92
S.CHEN,S.CHENDA,0.95
C.CHEANG,C.CHAN,0.95
S.KHOU,S.OU,0.91
K.EK,K.SIEK,0.91
B.HORN,B.HORM,0.93
P.HORM,P.HO,0.93
P.AN,P.YANN,0.91
V.SUJJAPORNKUL,V.SUJJAPORNKUL,1.00
R.MET,R.MEN,0.92
K.TAT,K.TAB,0.92
S.UNG,S.DOUNG,0.92
K.CHHAY,M.CHHAY,0.90
S.HEANG,S.LEANG,0.92
D.CHHORN,K.CHHORN,0.92
S.SENG,S.SE,0.93
C.KEO,C.KER,0.92
S.HEANG,S.HEAB,0.91
S.RON,S.ROEURN,0.93
P.NGET,P.NGET,1.00
P.BUN,P.BOU,0.91
S.KAM,S.MAUK,0.90
S.NGETH,S.NGET,0.97
D.CHANN,D.CHAN,0.97
M.NHOEK,M.HOK,0.92
V.KEO,V.KEA,0.92
M.SAMRITH,M.SAMATH,0.93
C.SUONG,C.UNG,0.92
H.SIHA,H.HAI,0.90
M.SRUN,M.SRORN,0.91
S.SO,S.SUOS,0.92
C.MET,C.MUT,0.91
N.OURN,N.OU,0.93
S.UNG,S.OUNG,0.96
K.PEN,K.PE,0.96
S.CHEN,S.CHIN,0.93
S.OM,S.ROM,0.95
L.VY,V.LY,0.92
S.LUON,S.LUN,0.97
S.UNG,S.HOUNG,0.92
D.SAM,D.SALMON,0.93
P.PHORL,P.PHON,0.91
S.VANN,S.VANN,1.00
S.PAN,S.PIN,0.91
R.TOY,R.TRY,0.91
B.CHENG,B.CHAN,0.91
S.HIM,S.HEM,0.91
S.LY,S.LY,1.00
D.REN,D.RIN,0.91
O.ENG,O.EANG,0.96
T.WEI,T.WEI,1.00
D.ROM,D.ROS,0.92
T.OUCH,T.NOCH,0.91
D.SIM,D.SIV,0.92
K.SARITH,K.SIT,0.91
R.NONG,R.NONN,0.93
C.NHEM,C.NHEM,1.00
S.SAO,S.SAY,0.92
S.SOY,S.SUY,0.91
M.KOU,M.OUK,0.95
S.VEK,S.EK,0.95
S.VUTH,S.VUTHY,0.97
P.PHYRUN,P.PHOEURN,0.90
S.CHOY,S.CHHOY,0.97
H.SEAN,H.SAN,0.96
S.SAO,S.SAM,0.92
M.VONG,M.VOEVN,0.91
A.KHIM,A.KIM,0.96
S.KHOU,S.HOUT,0.91
B.LY,B.LY,1.00
L.LONG,L.LONG,1.00
P.SEN,P.SEM,0.92
S.HEANG,S.HANG,0.97
T.SEAN,T.EN,0.91
S.SAO,S.SAK,0.92
H.KIM,H.KIM,1.00
E.IM,E.KIM,0.95
L.MAM,L.MAO,0.92
M.YUN,M.YUEN,0.97
P.LOEURN,P.LEU,0.91
D.SAM,S.DAM,0.93
B.CHENG,S.CHENG,0.90
K.KHIEV,K.KHOV,0.91
S.OM,S.PROM,0.91
M.HENG,M.LENG,0.91
N.HAY,N.HUY,0.91
C.TOCH,C.TECH,0.92
S.SENG,S.EUNG,0.91
M.SCHEAT,M.CHET,0.93
V.PRINK,V.RIN,0.92
N.SOTHEARITH,UNG SOTHEARITH,0.90
K.LEAM,K.LEANG,0.91
R.SUM,R.UM,0.95
V.SOUTH,V.SOUM,0.91
S.HEM,S.EM,0.95
R.SEM,R.MEAS,0.90
S.NIM,S.NIMHORS,0.91
L.KHAT,L.HEAT,0.91
L.HAI,L.HIN,0.91
M.CHAN,M.CHEA,0.93
M.PANG,P.MANG,0.94
S.TUN,S.T,0.91
S.CHEN,S.CHAMRAEUN,0.91
M.BORN,M.LORN,0.91
S.LUON,S.YUON,0.91
K.AN,K.N,0.93
V.HORN,V.HORNG,0.97
S.BOEURN,S.BUN,0.91
C.SENG,C.EANG,0.91
O.LAY,O.LY,0.95
S.HEM,S.MENH,0.90
V.NY,V.NY,1.00
K.KONG,K.TONG,0.91
B.LONG,B.LORN,0.93
M.VONG,M.HONG,0.91
V.HUOT,V.THOU,0.96
S.PHON,S.NOP,0.90
S.LONG,S.RONG,0.91
S.TRAY,S.TRAK,0.93
S.KAM,S.KAN,0.92
M.VONG,M.KONG,0.91
S.SENG,S.EANG,0.91
T.SOKUN,T.SOUN,0.97
B.CHENG,V.CHENG,0.90
S.PAN,S.PHAN,0.96
V.PHENG,V.PENGTI,0.91
S.KEN,S.KON,0.91
M.,M.C,0.91
M.HENG,M.MENG,0.91
B.UN,B.BUN,0.95
S.HANG,S.TANG,0.91
L.RIN,L.RIM,0.92
M.SUM,M.SUN,0.92
B.CHENG,B.HENG,0.96
S.CHHOM,P.CHHOM,0.90
K.KORN,K.KOR,0.97
S.VATHANAK,S.VANNROTHANAK,0.90
V.UN,V.LUN,0.95
H.VANNA,B.VANNA,0.90
K.BUN,K.BUN,1.00
S.MEY,S.MUY,0.91
K.YANG,K.KANG,0.91
C.MON,C.MUN,0.91
S.PRACH,S.PRAK,0.91
M.SUM,M.SAM,0.91
S.CHEN,S.HE,0.91
S.HO,S.PHON,0.91
S.KHHUN,S.CHHUN,0.92
S.HANG,S.AING,0.91
S.THANG,S.THARAN,0.92
V.VONG,V.LONG,0.91
H.CHENG,H.HENG,0.96
S.HAK,S.HAK,1.00
S.DARA,S.DA,0.93
N.KAO,N.KEO,0.91
R.HORM,R.KHOM,0.91
E.SOY,E.SOUFY,0.94
P.LEN,L.PEN,0.93
M.LI,M.LIM,0.96
S.KHUN,S.KHENG,0.91
B.MACH,B.LACH,0.91
S.SAN,S.SAMGAN,0.93
V.DOEUR,K.DOEUR,0.90
V.HORN,V.HARN,0.92
R.HAK,R.HAR,0.92
P.NEANG,P.NEUN,0.91
D.NAO,D.NEA,0.91
D.CHHENG,R.CHHENG,0.92
J.ZHANG,J.HUANG,0.92
V.KEO,V.KEO,1.00
D.NON,D.N,0.91
S.LY,S.LAY,0.95
S.Y,S.VY,0.93
S.KHOU,S.KHOV,0.93
R.EATH,E.RATH,0.94
S.CHHORN,S.CHHOUN,0.95
K.SRUN,K.SRAUY,0.91
K.PHORK,K.PHOU,0.91
K.SORN,K.SOUR,0.93
M.IT,M.T,0.93
S.THEN,S.THOEURNG,0.92
Y.SANG,Y.SAYNY,0.91
T.ON,T.LONG,0.91
T.ON,T.KONG,0.91
S.LA,S.LEAP,0.92
S.NHOEM,K.NHOEM,0.90
P.SEN,P.SEAN,0.97
K.SEN,K.SET,0.92
S.HO,S.PHOM,0.91
R.HOEUN,R.DOEUN,0.92
S.UNG,S.UNG,1.00
H.BUNTHOEUN,R.BUNTHOEUN,0.94
M.HEANG,M.HEAB,0.91
K.CHHAY,P.CHHAY,0.90
V.VITOU,V.VIET,0.91
N.LAI,N.LIV,0.91
R.VONG,R.KONG,0.91
K.SOM,K.SOR,0.92
C.NHEM,C.CHEM,0.91
C.WU,C.WU,1.00
P.DOU,P.DOM,0.92
C.DE,C.DEAB,0.93
C.CHHOEURNG,C.CHHUN,0.93
V.PHEAP,V.PHAL,0.91
T.YEE,T.Y,0.91
K.LEANG,K.YEANG,0.92
M.LAO,M.LOR,0.91
C.CHEN,C.CHUON,0.91
R.PHEARIN,R.PHIN,0.93
